base_source,variant,process_round,alpha,runs,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,added_final_imp_precision_mean,added_final_imp_precision_std,added_final_imp_precision_ci95,added_final_imp_precision_n,added_oracle_overlap_precision_mean,added_oracle_overlap_precision_std,added_oracle_overlap_precision_ci95,added_oracle_overlap_precision_n
epoch_10,base,,0.0,5,5,0.87426,0.00241722981944208,0.002118795355856717,5,-0.02290000000000001,0.00393573373083086,0.003449822720082851,5,-0.013100000000000023,0.005821511831131137,0.00510278010500157,5,0.2340361961407577,0.011365284232625129,0.009962110866080478,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_10,final_oracle_residual,,0.5,5,5,0.8903,0.001317193987231943,0.0011545714356418087,5,-0.00686,0.001411736519326465,0.0012374416188249053,5,0.002939999999999987,0.003513260593807383,0.003079508688086437,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,28264.8,684.1401172274581,599.6752528360663,5,1.0,0.0,0.0,5,1.0,0.0,0.0,5
epoch_10,round_excluded_oracle_final_imp_residual,1,0.5,5,5,0.877,0.00046368092477477006,0.00040643425052521007,5,-0.02016000000000002,0.0025115732121521045,0.0022014909856731255,5,-0.010360000000000036,0.004478057614636066,0.003925190563526825,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,14132.6,341.8776096792535,299.6689374893568,5,1.0,0.0,0.0,5,0.43982172021424115,0.003946045222066245,0.0034588611406607237,5
epoch_10,round_excluded_oracle_final_imp_residual,3,0.5,5,5,0.87822,0.0008438009243891547,0.0007396241207532335,5,-0.018940000000000002,0.0019112822920751245,0.0016753127946744616,5,-0.009140000000000014,0.003910626548265645,0.003427815304242639,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,14132.6,341.8776096792535,299.6689374893568,5,1.0,0.0,0.0,5,0.40047212161440165,0.002392641061466746,0.002097242359205183,5
epoch_10,round_excluded_oracle_final_imp_residual,5,0.5,5,5,0.87792,0.0022219360926903184,0.0019476128568070036,5,-0.019240000000000014,0.0026482069405543004,0.002321255729125935,5,-0.009440000000000026,0.0041385987966943445,0.0036276417904748948,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,14132.6,341.8776096792535,299.6689374893568,5,1.0,0.0,0.0,5,0.32384260062083287,0.007959988542980119,0.006977237589031436,5
epoch_10,round_final_imp_residual,1,0.5,5,5,0.88444,0.0032051521024749983,0.0028094396879093033,5,-0.012719999999999999,0.0014618481453283576,0.0012813663956885901,5,-0.0029200000000000116,0.001981665965797451,0.0017370068048225826,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,28264.8,684.1401172274581,599.6752528360663,5,1.0,0.0,0.0,5,0.5601926641355862,0.003969466831021255,0.003479391086088925,5
epoch_10,round_final_imp_residual,3,0.5,5,5,0.88578,0.002815492852059827,0.0024678882956892484,5,-0.01137999999999999,0.0015594870951693963,0.0013669507086943218,5,-0.0015800000000000037,0.0037425926842230223,0.003280527128374304,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,28264.8,684.1401172274581,599.6752528360663,5,1.0,0.0,0.0,5,0.5995278783855983,0.002392641061466769,0.002097242359205204,5
epoch_10,round_final_imp_residual,5,0.5,5,5,0.88724,0.003276888768328851,0.0028723196479500373,5,-0.009919999999999995,0.0036410163416276562,0.003191491538450278,5,-0.00012000000000000899,0.005136341110167786,0.004502201488161067,5,0.5262864192800955,0.008714462650126093,0.007638563302241444,5,0.5262864312726586,0.00871579267759485,0.0076397291227196205,5,14132.4,342.0954545152566,299.85988690720205,5,28264.8,684.1401172274581,599.6752528360663,5,1.0,0.0,0.0,5,0.6761573993791671,0.007959988542980146,0.00697723758903146,5
epoch_30,base,,0.0,5,5,0.88304,0.0017343586710943178,0.0015202324032857727,5,-0.014119999999999999,0.0028252433523503484,0.0024764349860232297,5,-0.004320000000000013,0.004281004555008091,0.003752465941217857,5,0.2312498228072489,0.013748767832148828,0.0120513263559825,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_30,final_oracle_residual,,0.5,5,5,0.88826,0.0021314314438892704,0.0018682820343834392,5,-0.008899999999999996,0.0010319883720274763,0.0009045776915223695,5,0.0008999999999999897,0.0028354893757515658,0.0024854160215143062,5,0.5241391997096787,0.010569416634778919,0.009264502158530028,5,0.5241444332862996,0.010581086794771405,0.009274731504782217,5,14217.0,417.41226623088113,365.87798315832015,5,28434.2,834.3558593310171,731.3451562046472,5,1.0,0.0,0.0,5,1.0,0.0,0.0,5
