base_source,group,pruned_round,runs,rows,fraction_mean,fraction_std,fraction_ci95,fraction_n,base_only_pruned_mean,base_only_pruned_std,base_only_pruned_ci95,base_only_pruned_n
epoch_2,all,1,1,1,1.0,0.0,0.0,1,1510.0,0.0,0.0,1
epoch_2,head,1,1,1,1.0,0.0,0.0,1,6.0,0.0,0.0,1
epoch_2,stage1,1,1,1,1.0,0.0,0.0,1,182.0,0.0,0.0,1
epoch_2,stage2,1,1,1,1.0,0.0,0.0,1,370.0,0.0,0.0,1
epoch_2,stage3,1,1,1,1.0,0.0,0.0,1,949.0,0.0,0.0,1
epoch_2,stem,1,1,1,1.0,0.0,0.0,1,3.0,0.0,0.0,1
traj_rms_abs,all,1,1,1,1.0,0.0,0.0,1,1842.0,0.0,0.0,1
traj_rms_abs,head,1,1,1,1.0,0.0,0.0,1,10.0,0.0,0.0,1
traj_rms_abs,stage1,1,1,1,1.0,0.0,0.0,1,190.0,0.0,0.0,1
traj_rms_abs,stage2,1,1,1,1.0,0.0,0.0,1,452.0,0.0,0.0,1
traj_rms_abs,stage3,1,1,1,1.0,0.0,0.0,1,1187.0,0.0,0.0,1
traj_rms_abs,stem,1,1,1,1.0,0.0,0.0,1,3.0,0.0,0.0,1
