base_source,base_kind,variant,alpha,seeds,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,base_to_imp_jaccard_mean,base_to_imp_jaccard_std,base_to_imp_jaccard_ci95,base_to_imp_jaccard_n,base_to_reference_jaccard_mean,base_to_reference_jaccard_std,base_to_reference_jaccard_ci95,base_to_reference_jaccard_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_effective_base_jaccard_mean,mask_to_effective_base_jaccard_std,mask_to_effective_base_jaccard_ci95,mask_to_effective_base_jaccard_n,mask_to_reference_base_jaccard_mean,mask_to_reference_base_jaccard_std,mask_to_reference_base_jaccard_ci95,mask_to_reference_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,heldout_count_mean,heldout_count_std,heldout_count_ci95,heldout_count_n,heldout_positive_count_mean,heldout_positive_count_std,heldout_positive_count_ci95,heldout_positive_count_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_2,imp_overlap_random,base,0.0,2,2,0.091796875,0.0,0.0,2,-0.0205078125,0.00966747552403483,0.013398437499999999,2,-0.017578125,0.016572815184059706,0.022968749999999993,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,0.9689897757286999,0.000498759098156798,0.0006912448433509112,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,1.0,0.0,0.0,2,0.9689897757286999,0.000498759098156798,0.0006912448433509112,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1518.5,17.67766952966369,24.5,2,0.0,0.0,0.0,2,,,,0
epoch_2,imp_overlap_random,oracle_imp_residual,0.5,2,2,0.1044921875,0.020716018980074635,0.0287109375,2,-0.0078125,0.030383494504109463,0.042109375,2,-0.0048828125,0.037288834164134345,0.051679687499999995,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,0.9689897757286999,0.000498759098156798,0.0006912448433509112,2,0.9920267266325854,8.878230164236619e-05,0.0001230459923797067,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,0.976784471931847,0.0004080012482546686,0.0005654608807719664,2,759.5,9.192388155425117,12.739999999999998,2,,,,0,,,,0,,,,0,759.5,9.192388155425117,12.739999999999998,2,1.0,0.0,0.0,2
epoch_2,imp_overlap_random,random_residual,0.5,2,2,0.1015625,0.011048543456039806,0.015312499999999998,2,-0.0107421875,0.0013810679320049757,0.0019140624999999997,2,-0.0078125,0.005524271728019903,0.007656249999999999,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,0.9689897757286999,0.000498759098156798,0.0006912448433509112,2,0.9842309662065143,0.00017617753052559483,0.0002441695999936022,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,0.9692095856803377,0.0005061004694527318,0.0007014194648669747,2,759.5,9.192388155425117,12.739999999999998,2,,,,0,81269.0,0.0,0.0,2,1518.5,17.67766952966369,24.5,2,11.5,0.7071067811865476,0.9799999999999999,2,0.015137015038193612,0.000747809695116477,0.0010364113606496548,2
epoch_2,trajectory,base,0.0,2,2,0.1083984375,0.00966747552403483,0.013398437499999999,2,-0.00390625,0.01933495104806966,0.026796874999999998,2,-0.0009765625,0.026240290708094537,0.036367187499999995,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,1.0,0.0,0.0,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1518.5,17.67766952966369,24.5,2,0.0,0.0,0.0,2,,,,0
epoch_2,trajectory,oracle_imp_residual,0.5,2,2,0.099609375,0.008286407592029853,0.011484374999999996,2,-0.0126953125,0.0013810679320049757,0.0019140624999999997,2,-0.009765625,0.008286407592029853,0.011484374999999996,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,1.0,0.0,0.0,2,0.9920267266325854,8.878230164236619e-05,0.0001230459923797067,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,759.5,9.192388155425117,12.739999999999998,2,,,,0,,,,0,,,,0,759.5,9.192388155425117,12.739999999999998,2,1.0,0.0,0.0,2
epoch_2,trajectory,random_residual,0.5,2,2,0.0927734375,0.0013810679320049757,0.0019140624999999997,2,-0.01953125,0.011048543456039806,0.015312499999999998,2,-0.0166015625,0.017953883116064683,0.024882812499999997,2,0.9841115884072207,0.00018349617945406468,0.00025431272991503377,2,1.0,0.0,0.0,2,0.9842569206129289,0.0001835230618947801,0.00025434998707703823,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,0.9920214954424995,9.618032160925621e-05,0.00013329912494815187,2,759.5,9.192388155425117,12.739999999999998,2,,,,0,81269.0,0.0,0.0,2,1518.5,17.67766952966369,24.5,2,14.0,0.0,0.0,2,0.018434529939424203,0.00022311699100196523,0.0003092243731774379,2
traj_rms_abs,imp_overlap_random,base,0.0,2,2,0.1103515625,0.015191747252054731,0.0210546875,2,-0.001953125,0.005524271728019903,0.007656249999999999,2,0.0009765625,0.0013810679320049757,0.0019140624999999997,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,0.9626264912496989,0.000603266780216714,0.0008360851010653936,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,1.0,0.0,0.0,2,0.9626264912496989,0.000603266780216714,0.0008360851010653936,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1843.0,39.59797974644666,54.879999999999995,2,0.0,0.0,0.0,2,,,,0
traj_rms_abs,imp_overlap_random,oracle_imp_residual,0.5,2,2,0.0966796875,0.0013810679320049757,0.0019140624999999997,2,-0.015625,0.008286407592029853,0.011484374999999996,2,-0.0126953125,0.015191747252054731,0.0210546875,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,0.9626264912496989,0.000603266780216714,0.0008360851010653936,2,0.9903331551487341,0.00020680661031937484,0.0002866193388400262,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,0.9720356498640136,0.0004060433230858727,0.0005627473349307,2,922.0,19.79898987322333,27.439999999999998,2,,,,0,,,,0,,,,0,922.0,19.79898987322333,27.439999999999998,2,1.0,0.0,0.0,2
traj_rms_abs,imp_overlap_random,random_residual,0.5,2,2,0.1044921875,0.015191747252054731,0.0210546875,2,-0.0078125,0.005524271728019903,0.007656249999999999,2,-0.0048828125,0.0013810679320049757,0.0019140624999999997,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,0.9626264912496989,0.000603266780216714,0.0008360851010653936,2,0.9809403750336808,0.00035850375809708276,0.0004968608593253653,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,0.9629718570587753,0.0005460049174279844,0.0007567242081620761,2,922.0,19.79898987322333,27.439999999999998,2,,,,0,81269.0,0.0,0.0,2,1843.0,39.59797974644666,54.879999999999995,2,18.5,4.949747468305833,6.859999999999999,2,0.02001204864640988,0.004938751756847192,0.006844760721412702,2
traj_rms_abs,trajectory,base,0.0,2,2,0.1015625,0.005524271728019903,0.007656249999999999,2,-0.0107421875,0.0041432037960149265,0.005742187499999998,2,-0.0078125,0.011048543456039806,0.015312499999999998,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,1.0,0.0,0.0,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,81269.0,0.0,0.0,2,1843.0,39.59797974644666,54.879999999999995,2,0.0,0.0,0.0,2,,,,0
traj_rms_abs,trajectory,oracle_imp_residual,0.5,2,2,0.099609375,0.0027621358640099515,0.0038281249999999995,2,-0.0126953125,0.01242961138804478,0.017226562499999997,2,-0.009765625,0.01933495104806966,0.026796874999999998,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,1.0,0.0,0.0,2,0.9903331551487341,0.00020680661031937484,0.0002866193388400262,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,922.0,19.79898987322333,27.439999999999998,2,,,,0,,,,0,,,,0,922.0,19.79898987322333,27.439999999999998,2,1.0,0.0,0.0,2
traj_rms_abs,trajectory,random_residual,0.5,2,2,0.09375,0.005524271728019903,0.007656249999999999,2,-0.0185546875,0.015191747252054731,0.0210546875,2,-0.015625,0.02209708691207961,0.030624999999999996,2,0.9807489847519014,0.00040963941181911375,0.0005677312596395856,2,1.0,0.0,0.0,2,0.9809041654398527,0.0003804390585238567,0.0005272616346964719,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,0.990322709892256,0.0002068044396853133,0.0002866163304947,2,922.0,19.79898987322333,27.439999999999998,2,,,,0,81269.0,0.0,0.0,2,1843.0,39.59797974644666,54.879999999999995,2,15.0,2.8284271247461903,3.9199999999999995,2,0.016239786889566628,0.0027189758661348767,0.003768308294740014,2
