base_source,variant,alpha,targets,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,source_vote_positive_count_mean,source_vote_positive_count_std,source_vote_positive_count_ci95,source_vote_positive_count_n,source_vote_max_mean,source_vote_max_std,source_vote_max_ci95,source_vote_max_n,selected_source_vote_mean_mean,selected_source_vote_mean_std,selected_source_vote_mean_ci95,selected_source_vote_mean_n,selected_source_vote_positive_fraction_mean,selected_source_vote_positive_fraction_std,selected_source_vote_positive_fraction_ci95,selected_source_vote_positive_fraction_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_2,base,0.0,2,2,0.1123046875,0.006905339660024878,0.0095703125,2,0.0107421875,0.0041432037960149265,0.005742187499999998,2,0.005859375,0.02209708691207961,0.030624999999999996,2,0.9842413411579201,7.340807227657299e-05,0.00010173839757317004,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,0
epoch_2,source_vote_random_residual,0.5,2,2,0.09765625,0.0,0.0,2,-0.00390625,0.0027621358640099515,0.0038281249999999995,2,-0.0087890625,0.015191747252054731,0.0210546875,2,0.9844126491689382,3.671037406237245e-05,5.087798270122068e-05,2,0.9920895056947883,4.439394888766399e-05,6.152687411214774e-05,2,753.0,4.242640687119285,5.879999999999998,2,81269.0,0.0,0.0,2,223.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.0013280423008836806,7.4826296538901495e-06,1.0370395611971616e-05,2,0.0013280423008836806,7.4826296538901495e-06,1.0370395611971616e-05,2,16.5,3.5355339059327378,4.9,2,0.021899470899470898,0.004571875590528893,0.006336296296296293,2
epoch_2,source_vote_residual,0.5,2,2,0.0888671875,0.006905339660024878,0.0095703125,2,-0.0126953125,0.0041432037960149265,0.005742187499999998,2,-0.017578125,0.02209708691207961,0.030624999999999996,2,0.9844022686779199,0.00011012996984452738,0.00015263235103831318,2,0.9920895056947883,4.439394888766399e-05,6.152687411214774e-05,2,753.0,4.242640687119285,5.879999999999998,2,81269.0,0.0,0.0,2,223.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.29619576036930084,0.01669371341901321,0.023136306405067444,2,0.29619576036930084,0.01669371341901321,0.023136306405067444,2,15.5,3.5355339059327378,4.9,2,0.020597883597883598,0.004811319156644975,0.006668148148148149,2
epoch_2,target_oracle_residual,0.5,2,2,0.0966796875,0.0041432037960149265,0.005742187499999998,2,-0.0048828125,0.006905339660024878,0.0095703125,2,-0.009765625,0.011048543456039806,0.015312499999999998,2,0.9920895054199759,2.9595965921053256e-05,4.101791606914373e-05,2,0.9920895056947883,4.439394888766399e-05,6.152687411214774e-05,2,753.0,4.242640687119285,5.879999999999998,2,,,,0,,,,0,,,,0,,,,0,,,,0,753.0,4.242640687119285,5.879999999999998,2,1.0,0.0,0.0,2
epoch_2,target_random_residual,0.5,2,2,0.099609375,0.011048543456039806,0.015312499999999998,2,-0.001953125,0.008286407592029853,0.011484374999999996,2,-0.0068359375,0.026240290708094537,0.036367187499999995,2,0.984402267917319,9.544597382869484e-05,0.00013228137084919878,2,0.9920895056947883,4.439394888766399e-05,6.152687411214774e-05,2,753.0,4.242640687119285,5.879999999999998,2,,,,0,,,,0,,,,0,,,,0,,,,0,15.5,2.1213203435596424,2.939999999999999,2,0.020592592592592593,0.002933183684921977,0.004065185185185188,2
traj_rms_abs,base,0.0,2,2,0.1005859375,0.00966747552403483,0.013398437499999999,2,-0.0009765625,0.01242961138804478,0.017226562499999997,2,-0.005859375,0.005524271728019903,0.007656249999999999,2,0.9803817646139015,2.193683275568285e-05,3.04028990706251e-05,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,81269.0,0.0,0.0,2,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,0
traj_rms_abs,source_vote_random_residual,0.5,2,2,0.0966796875,0.00966747552403483,0.013398437499999999,2,-0.0048828125,0.006905339660024878,0.0095703125,2,-0.009765625,0.02485922277608956,0.034453124999999994,2,0.9806299825444543,7.314110719174966e-06,1.0136840284240556e-05,2,0.990145146618197,1.4769110216089138e-05,2.0468942452340762e-05,2,939.0,1.4142135623730951,1.9599999999999997,2,81269.0,0.0,0.0,2,268.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.0021299278596416116,3.207934934510821e-06,4.4459709897637366e-06,2,0.0021299278596416116,3.207934934510821e-06,4.4459709897637366e-06,2,24.0,1.4142135623730951,1.9599999999999997,2,0.025558000272195257,0.0014675922169978925,0.002033979040965385,2
traj_rms_abs,source_vote_residual,0.5,2,2,0.1240234375,0.017953883116064683,0.024882812499999997,2,0.0224609375,0.015191747252054731,0.0210546875,2,0.017578125,0.03314563036811941,0.045937499999999985,2,0.9806299826524931,2.1942332158780974e-05,3.0410520854462498e-05,2,0.990145146618197,1.4769110216089138e-05,2.0468942452340762e-05,2,939.0,1.4142135623730951,1.9599999999999997,2,81269.0,0.0,0.0,2,268.0,11.313708498984761,15.679999999999998,2,1.0,0.0,0.0,2,0.28541940450668335,0.01247854387916593,0.017294379472732543,2,0.28541940450668335,0.01247854387916593,0.017294379472732543,2,24.0,0.0,0.0,2,0.02555913441908996,3.8494222085191215e-05,5.3350269926961746e-05,2
traj_rms_abs,target_oracle_residual,0.5,2,2,0.0947265625,0.006905339660024878,0.0095703125,2,-0.0068359375,0.00966747552403483,0.013398437499999999,2,-0.01171875,0.008286407592029853,0.011484374999999996,2,0.9901399249218032,7.3845163574168945e-06,1.0234417520540438e-05,2,0.990145146618197,1.4769110216089138e-05,2.0468942452340762e-05,2,939.0,1.4142135623730951,1.9599999999999997,2,,,,0,,,,0,,,,0,,,,0,,,,0,939.0,1.4142135623730951,1.9599999999999997,2,1.0,0.0,0.0,2
traj_rms_abs,target_random_residual,0.5,2,2,0.1064453125,0.006905339660024878,0.0095703125,2,0.0048828125,0.0041432037960149265,0.005742187499999998,2,0.0,0.02209708691207961,0.030624999999999996,2,0.9805937810559229,5.8510746778525534e-05,8.10917578059933e-05,2,0.990145146618197,1.4769110216089138e-05,2.0468942452340762e-05,2,939.0,1.4142135623730951,1.9599999999999997,2,,,,0,,,,0,,,,0,,,,0,,,,0,20.5,7.7781745930520225,10.78,2,0.02182552284171846,0.008250594933592523,0.011434741187678624,2
