base_source,variant,process_round,alpha,runs,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,added_final_imp_precision_mean,added_final_imp_precision_std,added_final_imp_precision_ci95,added_final_imp_precision_n,added_oracle_overlap_precision_mean,added_oracle_overlap_precision_std,added_oracle_overlap_precision_ci95,added_oracle_overlap_precision_n
epoch_2,base,,0.0,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0029296875,0.01242961138804478,0.017226562499999997,2,-0.015625,0.01933495104806966,0.026796874999999998,2,0.9719448276812579,0.0002589321572077145,0.0003588616610885187,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,,,,0,,,,0,,,,0
epoch_2,final_oracle_residual,,0.5,2,2,0.0927734375,0.0013810679320049757,0.0019140624999999997,2,-0.001953125,0.011048543456039806,0.015312499999999998,2,-0.0146484375,0.017953883116064683,0.024882812499999997,2,0.9858696146317544,0.00013655301008542425,0.00018925281646876347,2,0.9858770414696283,0.00012604987523851045,0.00017469621423578326,2,944.0,8.48528137423857,11.759999999999996,2,1888.5,17.67766952966369,24.5,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2
epoch_2,round_final_imp_residual,1,0.5,2,2,0.0888671875,0.006905339660024878,0.0095703125,2,-0.005859375,0.016572815184059706,0.022968749999999993,2,-0.0185546875,0.023478154844084585,0.03253906249999999,2,0.9858696146317544,0.00013655301008542425,0.00018925281646876347,2,0.9858770414696283,0.00012604987523851045,0.00017469621423578326,2,944.0,8.48528137423857,11.759999999999996,2,1888.5,17.67766952966369,24.5,2,1.0,0.0,0.0,2,0.5821310739535406,0.007479731252905804,0.010366378633149985,2
epoch_2,round_final_imp_residual,2,0.5,2,2,0.08984375,0.005524271728019903,0.007656249999999999,2,-0.0048828125,0.015191747252054731,0.0210546875,2,-0.017578125,0.02209708691207961,0.030624999999999996,2,0.9858696146317544,0.00013655301008542425,0.00018925281646876347,2,0.9858770414696283,0.00012604987523851045,0.00017469621423578326,2,944.0,8.48528137423857,11.759999999999996,2,1888.5,17.67766952966369,24.5,2,1.0,0.0,0.0,2,0.524452923353159,0.01969519729441148,0.027296150824823187,2
epoch_2,round_survivor_residual,1,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0029296875,0.01242961138804478,0.017226562499999997,2,-0.015625,0.01933495104806966,0.026796874999999998,2,0.9795762587024177,0.0002818153845798049,0.00039057619617898664,2,0.9858770414696283,0.00012604987523851045,0.00017469621423578326,2,944.0,8.48528137423857,11.759999999999996,2,56888.0,0.0,0.0,2,0.5496352822354393,0.03401032054949551,0.04713589945011786,2,0.33253955784984846,0.01948253360082158,0.027001413982717982,2
epoch_2,round_survivor_residual,2,0.5,2,2,0.08984375,0.005524271728019903,0.007656249999999999,2,-0.0048828125,0.015191747252054731,0.0210546875,2,-0.017578125,0.02209708691207961,0.030624999999999996,2,0.9858696146317544,0.00013655301008542425,0.00018925281646876347,2,0.9858770414696283,0.00012604987523851045,0.00017469621423578326,2,944.0,8.48528137423857,11.759999999999996,2,1888.5,17.67766952966369,24.5,2,1.0,0.0,0.0,2,0.524452923353159,0.01969519729441148,0.027296150824823187,2
traj_rms_abs,base,,0.0,2,2,0.0966796875,0.0013810679320049757,0.0019140624999999997,2,0.001953125,0.011048543456039806,0.015312499999999998,2,-0.0107421875,0.017953883116064683,0.024882812499999997,2,0.9684722732827996,0.0006192504028543883,0.000858237271857245,2,1.0,0.0,0.0,2,0.0,0.0,0.0,2,,,,0,,,,0,,,,0
traj_rms_abs,final_oracle_residual,,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0029296875,0.01242961138804478,0.017226562499999997,2,-0.015625,0.01933495104806966,0.026796874999999998,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,1063.0,21.213203435596427,29.4,2,2126.0,42.42640687119285,58.8,2,1.0,0.0,0.0,2,1.0,0.0,0.0,2
traj_rms_abs,round_final_imp_residual,1,0.5,2,2,0.091796875,0.0027621358640099515,0.0038281249999999995,2,-0.0029296875,0.01242961138804478,0.017226562499999997,2,-0.015625,0.01933495104806966,0.026796874999999998,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,1063.0,21.213203435596427,29.4,2,2126.0,42.42640687119285,58.8,2,1.0,0.0,0.0,2,0.6112012987012987,0.019514310519758632,0.027045454545454563,2
traj_rms_abs,round_final_imp_residual,2,0.5,2,2,0.09765625,0.005524271728019903,0.007656249999999999,2,0.0029296875,0.0041432037960149265,0.005742187499999998,2,-0.009765625,0.011048543456039806,0.015312499999999998,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,1063.0,21.213203435596427,29.4,2,2126.0,42.42640687119285,58.8,2,1.0,0.0,0.0,2,0.5523207027432764,0.011022099180606457,0.015275850104094327,2
traj_rms_abs,round_survivor_residual,1,0.5,2,2,0.099609375,0.008286407592029853,0.011484374999999996,2,0.0048828125,0.0013810679320049757,0.0019140624999999997,2,-0.0078125,0.008286407592029853,0.011484374999999996,2,0.9784402996549844,0.00015638446986355008,0.0002167378174610479,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,1063.0,21.213203435596427,29.4,2,56888.0,0.0,0.0,2,0.6388580067696752,0.03714090660858542,0.05147467036780013,2,0.40259474712855303,0.00393941466455067,0.0054597501734906335,2
traj_rms_abs,round_survivor_residual,2,0.5,2,2,0.09765625,0.005524271728019903,0.007656249999999999,2,0.0029296875,0.0041432037960149265,0.005742187499999998,2,-0.009765625,0.011048543456039806,0.015312499999999998,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,0.9841108752967777,0.00031456441336037737,0.00043596403442189844,2,1063.0,21.213203435596427,29.4,2,2126.0,42.42640687119285,58.8,2,1.0,0.0,0.0,2,0.5523207027432764,0.011022099180606457,0.015275850104094327,2
