source_kind,source,group,num_runs,group_jaccard,group_jaccard_std,group_jaccard_ci95_low,group_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_initial_rms_movement,head,1.0,0.86875,0.0,0.86875,0.86875,640.0,0.0,640.0,640.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_initial_rms_movement,stage1,1.0,0.8158467566390945,0.0,0.8158467566390945,0.8158467566390945,13572.0,0.0,13572.0,13572.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_initial_rms_movement,stage2,1.0,0.707883800847119,0.0,0.707883800847119,0.707883800847119,46195.0,0.0,46195.0,46195.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_initial_rms_movement,stage3,1.0,0.48227474561106143,0.0,0.48227474561106143,0.48227474561106143,128790.0,0.0,128790.0,128790.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_initial_rms_movement,stem,1.0,0.9143518518518519,0.0,0.9143518518518519,0.9143518518518519,430.0,0.0,430.0,430.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_max_abs,head,1.0,0.95,0.0,0.95,0.95,575.0,0.0,575.0,575.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_max_abs,stage1,1.0,0.9634446994814249,0.0,0.9634446994814249,0.9634446994814249,11642.0,0.0,11642.0,11642.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_max_abs,stage2,1.0,0.9757510406740558,0.0,0.9757510406740558,0.9757510406740558,39501.0,0.0,39501.0,39501.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_max_abs,stage3,1.0,0.9813686489752756,0.0,0.9813686489752756,0.9813686489752756,137504.0,0.0,137504.0,137504.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_max_abs,stem,1.0,0.9753694581280788,0.0,0.9753694581280788,0.9753694581280788,405.0,0.0,405.0,405.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_mean_abs,head,1.0,0.9627659574468085,0.0,0.9627659574468085,0.9627659574468085,551.0,0.0,551.0,551.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_mean_abs,stage1,1.0,0.9688896528016501,0.0,0.9688896528016501,0.9688896528016501,11456.0,0.0,11456.0,11456.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_mean_abs,stage2,1.0,0.9770765707959035,0.0,0.9770765707959035,0.9770765707959035,39283.0,0.0,39283.0,39283.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_mean_abs,stage3,1.0,0.9824371034155666,0.0,0.9824371034155666,0.9824371034155666,137938.0,0.0,137938.0,137938.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_mean_abs,stem,1.0,0.9850374064837906,0.0,0.9850374064837906,0.9850374064837906,399.0,0.0,399.0,399.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_path_length,head,1.0,0.86875,0.0,0.86875,0.86875,640.0,0.0,640.0,640.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_path_length,stage1,1.0,0.8195782914281574,0.0,0.8195782914281574,0.8195782914281574,13658.0,0.0,13658.0,13658.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_path_length,stage2,1.0,0.7200437680294439,0.0,0.7200437680294439,0.7200437680294439,47170.0,0.0,47170.0,47170.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
aggregate,traj_path_length,stage3,1.0,0.48012925871242723,0.0,0.48012925871242723,0.48012925871242723,127729.0,0.0,127729.0,127729.0,137932.0,0.0,137932.0,137932.0,204800.0,0.0,204800.0,204800.0
aggregate,traj_path_length,stem,1.0,0.9143518518518519,0.0,0.9143518518518519,0.9143518518518519,430.0,0.0,430.0,430.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_post_rewind_path_length,head,1.0,0.859375,0.0,0.859375,0.859375,634.0,0.0,634.0,634.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_post_rewind_path_length,stage1,1.0,0.7835564333260185,0.0,0.7835564333260185,0.7835564333260185,12929.0,0.0,12929.0,12929.0,11454.0,0.0,11454.0,11454.0,13824.0,0.0,13824.0,13824.0
aggregate,traj_post_rewind_path_length,stage2,1.0,0.674679259814751,0.0,0.674679259814751,0.674679259814751,43339.0,0.0,43339.0,43339.0,39288.0,0.0,39288.0,39288.0,51200.0,0.0,51200.0,51200.0
