source_kind,source,parameter,group,num_runs,layer_jaccard,layer_jaccard_std,layer_jaccard_ci95_low,layer_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_initial_rms_movement,conv1.weight,stem,1.0,0.9143518518518519,0.0,0.9143518518518519,0.9143518518518519,430.0,0.0,430.0,430.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_initial_rms_movement,fc.weight,head,1.0,0.86875,0.0,0.86875,0.86875,640.0,0.0,640.0,640.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_initial_rms_movement,layer1.0.conv1.weight,stage1,1.0,0.8237082066869301,0.0,0.8237082066869301,0.8237082066869301,2292.0,0.0,2292.0,2292.0,1908.0,0.0,1908.0,1908.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.0.conv2.weight,stage1,1.0,0.8220965637233579,0.0,0.8220965637233579,0.8220965637233579,2283.0,0.0,2283.0,2283.0,1906.0,0.0,1906.0,1906.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.1.conv1.weight,stage1,1.0,0.8154917319408181,0.0,0.8154917319408181,0.8154917319408181,2272.0,0.0,2272.0,2272.0,1900.0,0.0,1900.0,1900.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.1.conv2.weight,stage1,1.0,0.8158813263525305,0.0,0.8158813263525305,0.8158813263525305,2255.0,0.0,2255.0,2255.0,1907.0,0.0,1907.0,1907.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.2.conv1.weight,stage1,1.0,0.8124456048738034,0.0,0.8124456048738034,0.8124456048738034,2242.0,0.0,2242.0,2242.0,1923.0,0.0,1923.0,1923.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer1.2.conv2.weight,stage1,1.0,0.8054101221640488,0.0,0.8054101221640488,0.8054101221640488,2228.0,0.0,2228.0,2228.0,1910.0,0.0,1910.0,1910.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_initial_rms_movement,layer2.0.conv1.weight,stage2,1.0,0.7876338212803146,0.0,0.7876338212803146,0.7876338212803146,4383.0,0.0,4383.0,4383.0,3799.0,0.0,3799.0,3799.0,4608.0,0.0,4608.0,4608.0
aggregate,traj_initial_rms_movement,layer2.0.conv2.weight,stage2,1.0,0.72329401389042,0.0,0.72329401389042,0.72329401389042,8608.0,0.0,8608.0,8608.0,7024.0,0.0,7024.0,7024.0,9216.0,0.0,9216.0,9216.0
