base_source,variant,alpha,num_rows,num_seeds,trained_accuracy,trained_accuracy_std,trained_accuracy_ci95_low,trained_accuracy_ci95_high,accuracy_minus_imp,accuracy_minus_imp_std,accuracy_minus_imp_ci95_low,accuracy_minus_imp_ci95_high,accuracy_minus_dense,accuracy_minus_dense_std,accuracy_minus_dense_ci95_low,accuracy_minus_dense_ci95_high,mask_to_imp_jaccard,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95_low,mask_to_imp_jaccard_ci95_high,mask_to_base_jaccard,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95_low,mask_to_base_jaccard_ci95_high,mask_to_dense_final_magnitude_jaccard,mask_to_dense_final_magnitude_jaccard_std,mask_to_dense_final_magnitude_jaccard_ci95_low,mask_to_dense_final_magnitude_jaccard_ci95_high,mask_to_rewind_magnitude_jaccard,mask_to_rewind_magnitude_jaccard_std,mask_to_rewind_magnitude_jaccard_ci95_low,mask_to_rewind_magnitude_jaccard_ci95_high,mask_sparsity,mask_sparsity_std,mask_sparsity_ci95_low,mask_sparsity_ci95_high,swap_count,swap_count_std,swap_count_ci95_low,swap_count_ci95_high,base_only_count,base_only_count_std,base_only_count_ci95_low,base_only_count_ci95_high,imp_only_count,imp_only_count_std,imp_only_count_ci95_low,imp_only_count_ci95_high,dense_accuracy,dense_accuracy_std,dense_accuracy_ci95_low,dense_accuracy_ci95_high,imp_accuracy,imp_accuracy_std,imp_accuracy_ci95_low,imp_accuracy_ci95_high
epoch_2,imp_residual,0.0,1.0,1.0,0.109375,0.0,0.109375,0.109375,0.0234375,0.0,0.0234375,0.0234375,0.013671875,0.0,0.013671875,0.013671875,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9913468556216559,0.0,0.9913468556216559,0.9913468556216559,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,0.0,0.0,0.0,0.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
epoch_2,imp_residual,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,0.0078125,0.0,0.0078125,0.0078125,-0.001953125,0.0,-0.001953125,-0.001953125,0.9919639480650447,0.0,0.9919639480650447,0.9919639480650447,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9862990022782623,0.0,0.9862990022782623,0.9862990022782623,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
epoch_2,imp_residual_high_remove,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,0.0078125,0.0,0.0078125,0.0078125,-0.001953125,0.0,-0.001953125,-0.001953125,0.9919639480650447,0.0,0.9919639480650447,0.9919639480650447,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9852176780657352,0.0,0.9852176780657352,0.9852176780657352,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
epoch_2,imp_residual_random_remove,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,0.0078125,0.0,0.0078125,0.0078125,-0.001953125,0.0,-0.001953125,-0.001953125,0.9919639480650447,0.0,0.9919639480650447,0.9919639480650447,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.985695810841235,0.0,0.985695810841235,0.985695810841235,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
epoch_2,random_residual,0.5,1.0,1.0,0.1171875,0.0,0.1171875,0.1171875,0.03125,0.0,0.03125,0.03125,0.021484375,0.0,0.021484375,0.021484375,0.9839818370144069,0.0,0.9839818370144069,0.9839818370144069,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9919534856848728,0.0,0.9919534856848728,0.9919534856848728,0.9850618149842453,0.0,0.9850618149842453,0.9850618149842453,0.3000007382907094,0.0,0.3000007382907094,0.3000007382907094,766.0,0.0,766.0,766.0,1531.0,0.0,1531.0,1531.0,1531.0,0.0,1531.0,1531.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
traj_rms_abs,imp_residual,0.0,1.0,1.0,0.09375,0.0,0.09375,0.09375,0.0078125,0.0,0.0078125,0.0078125,-0.001953125,0.0,-0.001953125,-0.001953125,0.9802267114311224,0.0,0.9802267114311224,0.9802267114311224,1.0,0.0,1.0,1.0,0.9917495129009049,0.0,0.9917495129009049,0.9917495129009049,0.9963100990641022,0.0,0.9963100990641022,0.9963100990641022,0.29999704683716255,0.0,0.29999704683716255,0.29999704683716255,0.0,0.0,0.0,0.0,1894.0,0.0,1894.0,1894.0,1893.0,0.0,1893.0,1893.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
traj_rms_abs,imp_residual,0.5,1.0,1.0,0.099609375,0.0,0.099609375,0.099609375,0.013671875,0.0,0.013671875,0.013671875,0.00390625,0.0,0.00390625,0.00390625,0.9900564082382264,0.0,0.9900564082382264,0.9900564082382264,0.9900720979776885,0.0,0.9900720979776885,0.9900720979776885,0.9905264262845747,0.0,0.9905264262845747,0.9905264262845747,0.9888041112771704,0.0,0.9888041112771704,0.9888041112771704,0.29999704683716255,0.0,0.29999704683716255,0.29999704683716255,946.0,0.0,946.0,946.0,1894.0,0.0,1894.0,1894.0,1893.0,0.0,1893.0,1893.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
traj_rms_abs,imp_residual_high_remove,0.5,1.0,1.0,0.09375,0.0,0.09375,0.09375,0.0078125,0.0,0.0078125,0.0078125,-0.001953125,0.0,-0.001953125,-0.001953125,0.9900564082382264,0.0,0.9900564082382264,0.9900564082382264,0.9900720979776885,0.0,0.9900720979776885,0.9900720979776885,0.9870327194613994,0.0,0.9870327194613994,0.9870327194613994,0.9876158881394483,0.0,0.9876158881394483,0.9876158881394483,0.29999704683716255,0.0,0.29999704683716255,0.29999704683716255,946.0,0.0,946.0,946.0,1894.0,0.0,1894.0,1894.0,1893.0,0.0,1893.0,1893.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
traj_rms_abs,imp_residual_random_remove,0.5,1.0,1.0,0.1015625,0.0,0.1015625,0.1015625,0.015625,0.0,0.015625,0.015625,0.005859375,0.0,0.005859375,0.005859375,0.9900564082382264,0.0,0.9900564082382264,0.9900564082382264,0.9900720979776885,0.0,0.9900720979776885,0.9900720979776885,0.9888145405728549,0.0,0.9888145405728549,0.9888145405728549,0.9881889763779528,0.0,0.9881889763779528,0.9881889763779528,0.29999704683716255,0.0,0.29999704683716255,0.29999704683716255,946.0,0.0,946.0,946.0,1894.0,0.0,1894.0,1894.0,1893.0,0.0,1893.0,1893.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
traj_rms_abs,random_residual,0.5,1.0,1.0,0.1171875,0.0,0.1171875,0.1171875,0.03125,0.0,0.03125,0.03125,0.021484375,0.0,0.021484375,0.021484375,0.9802267114311224,0.0,0.9802267114311224,0.9802267114311224,0.9900720979776885,0.0,0.9900720979776885,0.9900720979776885,0.9866475992917833,0.0,0.9866475992917833,0.9866475992917833,0.9878867613990764,0.0,0.9878867613990764,0.9878867613990764,0.29999704683716255,0.0,0.29999704683716255,0.29999704683716255,946.0,0.0,946.0,946.0,1894.0,0.0,1894.0,1894.0,1893.0,0.0,1893.0,1893.0,0.095703125,0.0,0.095703125,0.095703125,0.0859375,0.0,0.0859375,0.0859375
