family,config,scope,comparison,runs,n_pairs,n_posterior_values,n_baseline_values,posterior_mean,posterior_std,baseline_mean,baseline_std,delta_mean,delta_ci95_low,delta_ci95_high,positive,negative,zero,paired_win_rate,all_pair_win_rate,ks_stat,ks_pvalue,wasserstein,mmd_rbf,raw_ks_stat,raw_ks_pvalue,raw_wasserstein,raw_mmd_rbf,raw_pair_win_rate,mean_post_chain,mean_sample_accuracy,verdict
CIFAR BlockLap,"joint-group, scale=1.0e-04",block,posterior-random,5,5,5,5,0.3294254778298016,0.005129656994723805,0.27102011523596575,0.00664521409187125,0.058405362593835816,0.05322645469383029,0.06358427049384134,5,0,0,1.0,1.0,1.0,0.0,0.05840536259383582,1.0354859348955436,nan,nan,nan,nan,nan,0.5088132998338245,0.892224,posterior separates from random
CIFAR BlockLap,"joint-group, scale=1.0e-04",block,posterior-chain,5,5,5,5,0.3294254778298016,0.005129656994723805,0.35006697893243016,0.009117509582534874,-0.02064150110262858,-0.025337611286547716,-0.015945390918709442,0,5,0,0.0,0.04,0.8,0.07999999999999996,0.02064150110262858,0.9055608512797733,nan,nan,nan,nan,nan,0.5088132998338245,0.892224,control closer to ticket
CIFAR BlockLap,"joint-group, scale=1.0e-04",block,posterior-rewind,5,5,5,5,0.3294254778298016,0.005129656994723805,0.363683881986986,0.012175276852708717,-0.03425840415718443,-0.04047832451010665,-0.028038483804262215,0,5,0,0.0,0.0,1.0,0.0,0.03425840415718443,1.0408150770563194,nan,nan,nan,nan,nan,0.5088132998338245,0.892224,control closer to ticket
CIFAR BlockLap,"joint-group, scale=1.0e-04",global,posterior-random,5,5,5,5,0.13190753612091782,0.0022614463605406293,0.09178390580573527,9.431834248356073e-05,0.040123630315182554,0.03809369972870336,0.042153560901661745,5,0,0,1.0,1.0,1.0,0.0,0.040123630315182554,0.8893846398306693,nan,nan,nan,nan,nan,0.945884733008768,0.892224,posterior separates from random
CIFAR BlockLap,"joint-group, scale=1.0e-04",global,posterior-chain,5,5,5,5,0.13190753612091782,0.0022614463605406293,0.13092017471416342,0.0022925763480824432,0.0009873614067543834,0.0007705306129231674,0.0012041922005855995,5,0,0,1.0,0.68,0.4,0.82,0.0009873614067543834,0.045324862702608604,nan,nan,nan,nan,nan,0.945884733008768,0.892224,practically tied to control
CIFAR BlockLap,"joint-group, scale=1.0e-04",global,posterior-rewind,5,5,5,5,0.13190753612091782,0.0022614463605406293,0.15089311976230912,0.004947939762074973,-0.01898558364139132,-0.02190997264015457,-0.016061194642628066,0,5,0,0.0,0.0,1.0,0.0,0.01898558364139132,1.2940089163985218,nan,nan,nan,nan,nan,0.945884733008768,0.892224,control closer to ticket
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",block,posterior-random,5,5,5,5,0.19590445226702152,0.01760372701729984,0.19378405501076487,0.015748299501149907,0.002120397256256662,-0.0025367405929534997,0.006777535105466824,4,1,0,0.8,0.56,0.20000000000000007,1.0,0.005003565819699024,0.019375465052984264,nan,nan,nan,nan,nan,0.22356189985618452,0.896064,posterior separates from random
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",block,posterior-chain,5,5,5,5,0.19590445226702152,0.01760372701729984,0.20341045566407762,0.018572616844111333,-0.0075060033970560935,-0.01588385720275637,0.0008718504086441814,0,5,0,0.0,0.32,0.4,0.82,0.0075060033970560935,0.07633195359360179,nan,nan,nan,nan,nan,0.22356189985618452,0.896064,control closer to ticket
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",block,posterior-rewind,5,5,5,5,0.19590445226702152,0.01760372701729984,0.24230867197030492,0.015266722032298785,-0.046404219703283386,-0.05434469714347057,-0.0384637422630962,0,5,0,0.0,0.04,0.8,0.07999999999999996,0.04640421970328339,0.8523729110114289,nan,nan,nan,nan,nan,0.22356189985618452,0.896064,control closer to ticket
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",global,posterior-random,5,5,5,5,0.1328523820522824,0.002807215829460124,0.0917321010921981,0.00016002963046647577,0.04112028096008429,0.03860499493759292,0.04363556698257567,5,0,0,1.0,1.0,1.0,0.0,0.041120280960084285,0.8666911846132368,nan,nan,nan,nan,nan,0.9556708076263214,0.896064,posterior separates from random
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",global,posterior-chain,5,5,5,5,0.1328523820522824,0.002807215829460124,0.13154324176922416,0.002823055252881091,0.00130914028305823,0.0010097363733807857,0.0016085441927356742,5,0,0,1.0,0.64,0.4,0.82,0.0013091402830582302,0.0502840428308684,nan,nan,nan,nan,nan,0.9556708076263214,0.896064,practically tied to control
CIFAR BlockLap,"layer1.0.conv1, scale=1.0e-03",global,posterior-rewind,5,5,5,5,0.1328523820522824,0.002807215829460124,0.1504342336820173,0.0029536892472872673,-0.017581851629734906,-0.01970374758373404,-0.01545995567573577,0,5,0,0.0,0.0,1.0,0.0,0.017581851629734906,1.1867198407914228,nan,nan,nan,nan,nan,0.9556708076263214,0.896064,control closer to ticket
CIFAR BlockLap,"layer3.0.shortcut.0, scale=1.0e-03",block,posterior-random,5,5,5,5,0.2401711655613941,0.007628424907612922,0.23806551444508722,0.004802806278299695,0.002105651116306845,-0.0008192497048921444,0.0050305519375058345,4,1,0,0.8,0.68,0.6,0.32000000000000006,0.0034171245869421495,0.13167814529373145,nan,nan,nan,nan,nan,0.3625913375272136,0.89054,posterior separates from random
CIFAR BlockLap,"layer3.0.shortcut.0, scale=1.0e-03",block,posterior-chain,5,5,5,5,0.2401711655613941,0.007628424907612922,0.2411283691175289,0.01574133268652147,-0.0009572035561348391,-0.010847642467488665,0.008933235355218986,2,3,0,0.4,0.48,0.4,0.82,0.006914535556943918,0.1355818769607735,nan,nan,nan,nan,nan,0.3625913375272136,0.89054,practically tied to control
CIFAR BlockLap,"layer3.0.shortcut.0, scale=1.0e-03",block,posterior-rewind,5,5,5,5,0.2401711655613941,0.007628424907612922,0.3049980237997506,0.01704231728973247,-0.06482685823835652,-0.07999495865959663,-0.04965875781711641,0,5,0,0.0,0.0,1.0,0.0,0.06482685823835652,1.2370916957334566,nan,nan,nan,nan,nan,0.3625913375272136,0.89054,control closer to ticket
CIFAR BlockLap,"layer3.0.shortcut.0, scale=1.0e-03",global,posterior-random,5,5,5,5,0.13325219308761044,0.0017456472292296332,0.0918097066222389,4.8060191362694974e-05,0.04144248646537152,0.03993049531375062,0.04295447761699242,5,0,0,1.0,1.0,1.0,0.0,0.04144248646537152,0.862769158160277,nan,nan,nan,nan,nan,0.9739566460421701,0.89054,posterior separates from random
