row_kind,label,covariance_family,coverage,source_csv,parameter_count,rank,scale,num_runs,posterior_jaccard,chain_start_jaccard,posterior_minus_chain_start_jaccard,posterior_to_chain_start_jaccard,rewind_minus_posterior_jaccard,sample_accuracy,selected_posterior_minus_chain_start_jaccard,selected_posterior_to_chain_start_jaccard,examples_seen,posterior_sampler,comparison,posterior_num_clusters,left_count,right_count,layer_ks_pvalue,hamming_overlap,logit_cka_hungarian_mean,activation_cka_hungarian_mean,passes_layer_ks,passes_hamming_overlap,passes_logit_cka,passes_activation_cka,direct_equivalence_passed
movement,LowRank16 Laplace,low-rank Hessian-plus-diagonal,full-network covariance-fidelity spectrum,runs/cifar10_resnet20_long30_rewind1_lowrank_laplace_movement_selected_r5_p0p3_summary.csv,272474,16,0.01,5,0.135065769135,0.145552207452,-0.0104864383167,0.735904411104,0.0426662409694,0.878444,,,,,,,,,,,,,,,,,
movement,LowRank32 Laplace,low-rank Hessian-plus-diagonal,full-network covariance-fidelity spectrum,runs/cifar10_resnet20_long30_rewind1_lowrank32_laplace_movement_selected_r5_p0p3_summary.csv,272474,32,0.01,5,0.135844910172,0.145659298883,-0.00981438871131,0.740165175309,0.0436280819759,0.878886,,,,,,,,,,,,,,,,,
movement,LowRank64 Laplace,low-rank Hessian-plus-diagonal,full-network covariance-fidelity spectrum,runs/cifar10_resnet20_long30_rewind1_lowrank64_laplace_movement_selected_r5_p0p3_summary.csv,272474,64,0.01,5,0.133856246863,0.143324326692,-0.00946807982912,0.73967756837,0.0427051256292,0.881612,,,,,,,,,,,,,,,,,
movement,LowRank128 Laplace,low-rank Hessian-plus-diagonal,full-network covariance-fidelity spectrum,runs/cifar10_resnet20_long30_rewind1_lowrank128_laplace_movement_selected_r5_p0p3_summary.csv,272474,128,0.01,5,0.135114007943,0.145319904184,-0.0102058962411,0.735831172057,0.0429241189659,0.881288,,,,,,,,,,,,,,,,,
movement,BlockDiag22k Laplace,exact tensor-block covariance,11 tensor blocks,runs/cifar10_resnet20_long30_rewind1_blockdiag_laplace_selected_r5_p0p3_summary.csv,22064,,0.0001,5,0.15042247874,0.146823541938,0.0035989368021,0.828730820692,0.0292420033942,0.88099,-0.0114158137583,0.515756171336,512,,,,,,,,,,,,,,
movement,BlockDiag68k Laplace,exact tensor-block covariance,16 tensor blocks,runs/cifar10_resnet20_long30_rewind1_blockdiag_laplace_max10k_selected_r5_p0p3_summary.csv,68144,,1e-05,5,0.148025448847,0.147062600005,0.000962848842024,0.740025178187,0.0318954394756,0.880216,-0.00500133258233,0.614585354468,512,,,,,,,,,,,,,,
movement,JointDiag68k Laplace,exact joint-group covariance,8 joint groups,runs/cifar10_resnet20_long30_rewind1_jointdiag_laplace_max10k_selected_r5_p0p3_summary.csv,68144,,1e-05,5,0.147804228838,0.146278538582,0.00152569025657,0.714823763324,0.0310673707416,0.881104,-0.005032330935,0.580374336732,512,,,,,,,,,,,,,,
movement,JointDiag86k Laplace,exact joint-group covariance,6 joint groups,runs/cifar10_resnet20_long30_rewind1_jointdiag_laplace_max20k_selected_r5_p0p3_summary.csv,86576,,3e-06,5,0.148127013701,0.147539026013,0.00058798768795,0.786252272652,0.0316811027775,0.88284,-0.00234269594594,0.700939027073,512,,,,,,,,,,,,,,
movement,JointDiag270k Laplace,exact joint-group covariance,8 streamed joint groups over the full weight vector,runs/cifar10_resnet20_long30_rewind1_jointdiag_laplace_max40k_stream_selected_r5_p0p3_summary.csv,270896,,1e-06,5,0.143203091973,0.145116659318,-0.00191356734432,0.738937383793,0.0361699450303,0.882384,-0.00191356734432,0.738937383793,512,,,,,,,,,,,,,,
direct,LowRank128 direct samples,low-rank Hessian-plus-diagonal,full-network rank-128 posterior samples,runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_lowrank128_laplace_r5_p0p3_summary.csv,272474,128,,,,,,,,,,,,lowrank-laplace,posterior_samples_vs_tickets,1,50,5,1.98199866874e-06,0.816326530612,0.931913507578,0.909552069776,false,true,true,true,false
direct,JointDiag270k direct samples,exact joint-group covariance,"direct 270,896-weight joint-group posterior samples",runs/cifar10_resnet20_long30_rewind1_mode_ticket_distribution_jointdiag_laplace_max40k_stream_r5_p0p3_summary.csv,270896,,,,,,,,,,,,,jointdiag-laplace,posterior_samples_vs_tickets,1,25,5,1.08536528974e-08,0,0.937280351905,0.919923289785,false,false,true,true,false
