label,num_runs,dense_acc,imp_acc,sparsity,posterior,random,chain_start,posterior_to_chain_start,dense_magnitude,rewind_magnitude,snip,synflow,state_clusters,function_clusters,gate1_passed
MNIST-r2,5,0.9667200000000001,0.97148,0.5099986442516269,0.35392810356428217,0.32458088986631317,0.3537347054248811,0.9303173487509001,0.8258866851385702,nan,0.4682166594064,0.633099199534586,3.0,3.0,False
MNIST-r3,5,0.9667200000000001,0.9728,0.6569956616052061,0.26691396966059217,0.2070712001981004,0.267021827860216,0.9115169754656746,0.7257509391120666,nan,0.35655912869525697,0.539204057017709,3.0,3.0,False
MNIST-r5,5,0.9667200000000001,0.9737600000000001,0.8319295688720174,0.23732427345431767,0.09177439971759402,0.2384643876400597,0.9297703313813688,0.5924264241128779,nan,0.2560469641752483,0.390049866945494,3.0,3.0,False
MNIST-r8,5,0.9667200000000001,0.97028,0.9423552738611713,0.12754539518058902,0.02977513063677033,0.12747068570620929,0.9422677406210755,0.4028401347277226,nan,0.1576328557227388,0.32077140529707016,3.0,3.0,False
Fashion-r2,5,0.8645799999999999,0.8709,0.5099986442516269,0.3516401513910063,0.3245697403083652,0.35158574089395256,0.931449207321944,0.738549380320587,nan,0.4437038532298755,0.6005586249083532,3.0,3.0,False
Fashion-r3,5,0.8645799999999999,0.8722,0.6569956616052061,0.2594720374722984,0.20700881775092425,0.2593741615582192,0.915989760541487,0.6377989797685334,nan,0.32874474580843505,0.5046895120125754,3.0,3.0,False
Fashion-r5,5,0.8645799999999999,0.87194,0.8319295688720174,0.21144042326275975,0.09169991645926028,0.21219731164909308,0.9212239165775923,0.5255189681299179,nan,0.20672919667459796,0.3869455963672449,3.0,3.0,False
Fashion-r8,5,0.8645799999999999,0.86036,0.9423552738611713,0.1299626073112341,0.02973301080707555,0.1300137072917596,0.9407600352725165,0.38133481265721564,nan,0.14504525440393062,0.33875555544282904,3.0,3.0,False
MNIST-SWAG-r5,5,0.9667200000000001,0.9737600000000001,0.8319295688720174,0.2383343804943486,0.09177439971759402,0.2384948392823823,0.9581302883252987,0.5924264241128779,nan,0.2553903392561928,0.390049866945494,3.0,3.0,False
Fashion-SWAG-r5,5,0.8645799999999999,0.87194,0.8319295688720174,0.211685019429554,0.09169991645926028,0.21217752154147082,0.9480442858345921,0.5255189681299179,nan,0.2053377955710193,0.3869455963672449,3.0,3.0,False
Digits-HMC-r2,5,0.7544444444444445,0.7738888888888888,0.5101351351351351,0.4135686917139725,0.3254242932075096,0.873568024307993,0.4094605148315071,0.873568024307993,nan,nan,nan,3.0,2.4,False
CIFAR10-R20-r2,3,0.8239333333333333,0.8491333333333332,0.510000147658142,0.3445519398441272,0.3244533175557443,0.34452645723606884,0.9967103843923638,0.41215039319628227,nan,0.3975720304707507,0.4520480572617824,3.0,2.0,False
CIFAR10-R20-r5,5,0.825,0.86342,0.8319318114700845,0.1297348517000112,0.0917220168919396,0.12970879477984973,0.9963345704557358,0.17035203633192136,nan,0.1574725482321631,0.17883156583535137,3.0,2.0,False
CIFAR10-R20-r8,3,0.8291666666666667,0.8533666666666666,0.9423542614139744,0.07855919024173898,0.02962134906073274,0.07854049718111718,0.9968884882647452,0.106355281441281,nan,0.0863517888847184,0.09119128065105335,3.0,2.0,False
CIFAR10-R20-SWAG-r5,5,0.8255399999999999,0.8631399999999999,0.8319318114700845,0.1301630650191312,0.09173034912527608,0.13037214635578145,0.9096769354058077,0.17026909387089703,nan,0.158208131388907,0.1773496381207309,1.2,2.4,False
CIFAR10-R20-SGLD3-r5,5,0.8215199999999999,0.86212,0.8319318114700845,0.12905318883864872,0.0917358564757305,0.12906314700835686,0.9963293026095735,0.16894559917863283,nan,0.15689798830614526,0.17564374253849474,3.0,3.0,False
CIFAR10-R20-long30-r5,1,0.8836,0.8584,0.8319318114700844,0.13811830355176388,0.09155466279237683,0.1380827396575428,0.9971926058675902,0.14239474080393436,nan,0.13417034103081485,0.17179698357955422,3.0,2.0,False
CIFAR10-R20-long30-r8p20,1,0.8846,0.8581,0.8322271277538243,0.12843176891021918,0.09154364807329038,0.12857887810086663,0.9968498869923612,0.1339429398335849,nan,0.12786470288982915,0.1626312625506824,3.0,1.0,False
CIFAR10-R20-long30-rw1-r5,5,0.8858599999999999,0.89804,0.8319318114700845,0.13419037892801328,0.09177261496255054,0.13419040658165732,0.9968572142104828,0.1471815613184548,0.17830961667255213,0.13629627366314037,0.17086278727948334,3.0,2.2,False
CIFAR10-R20-long30-rw1-SWAG-r5,5,0.8859400000000001,0.8968999999999999,0.8319318114700845,0.13608229802578684,0.09181202951890886,0.13613608955119308,0.9265466136684999,0.14630050927709218,0.17864288959097402,0.13684398758519256,0.17302358267644652,1.0,2.8,False
CIFAR10-R20-long30-rw1-SGLD3-r5,5,0.88598,0.899,0.8319318114700845,0.13683580702963288,0.09178909984697142,0.13684068315418016,0.9969154385516938,0.14598913943280376,0.17998674137363785,0.1388185159842478,0.17360138426616928,3.0,3.2,False
